Deere & Company;DE;348.75;"
							-0.30%
					";-3.9%;-6.4%
General Dynamics Corporation;GD;195.11;"
							-0.01%
					";-3.3%;-0.8%
L Brands;LB;76.67;"
";;
Albemarle;ALB;228.17;"
							+0.52%
					";-5.4%;+4.8%
Best Buy;BBY;109.50;"
							+0.14%
					";-1.6%;-0.9%
Target;TGT;246.12;"
							-0.15%
					";+0.7%;-0.6%
Alexion;ALXN;180.49;"
";;
Waste Management;WM;152.69;"
							-0.24%
					";-1.2%;+1.9%
Alteryx;AYX;71.50;"
							-0.43%
					";-1.2%;+0.7%
Lumen Technologies;LUMN;12.91;"
							0.00%
					";+7.9%;+11.2%
Mondelez International;MDLZ;60.84;"
							-0.26%
					";+0.9%;-3.4%
Starbucks;SBUX;113.35;"
							+0.11%
					";-5.0%;-2.0%
Kroger;KR;41.03;"
							+0.07%
					";-4.1%;-11.4%
Franklin Resources;BEN;31.13;"
							-0.67%
					";-0.6%;+0.4%
D.R. Horton;DHI;90.84;"
							+0.01%
					";+1.5%;-2.8%
General Mills;GIS;58.92;"
							-0.07%
					";+0.5%;-0.9%
Harley Davidson;HOG;37.79;"
							-0.55%
					";+1.8%;-6.3%
Hormel Foods;HRL;42.01;"
							+0.10%
					";-0.8%;-9.0%
PerkinElmer;PKI;187.56;"
							-0.14%
					";+0.2%;+3.3%
Thermo Fisher Scientific;TMO;594.17;"
							-0.43%
					";+4.0%;+9.1%
Texas Instruments;TXN;195.54;"
							-0.43%
					";+2.6%;+6.3%
Amgen;AMGN;218.67;"
							-0.37%
					";+2.3%;-3.5%
Boston Scientific;BSX;44.35;"
							-0.20%
					";-0.3%;+0.4%
Clorox;CLX;166.09;"
							-0.26%
					";-2.3%;-1.4%
Lennar Corporation;LEN;100.20;"
							-0.31%
					";+0.6%;-4.3%
Newmont Mining;NEM;55.25;"
							+0.02%
					";-3.0%;-2.9%
NRG Energy;NRG;41.98;"
							-0.33%
					";-3.4%;-2.5%
PPG;PPG;146.98;"
							+0.39%
					";-5.0%;-11.6%
Dr. Reddy's Laboratories;RDY;66.35;"
							+0.39%
					";+0.8%;+6.2%
Fastenal Company;FAST;52.96;"
							+0.17%
					";-1.6%;-2.4%
Discovery;DISCA;26.86;"
							-0.04%
					";+2.6%;-5.5%
Discovery;DISCB;46.05;"
							-1.60%
					";+2.3%;+11.1%
Discovery;DISCK;25.96;"
							-0.15%
					";+3.2%;-3.9%
Analog Devices;ADI;172.44;"
							+0.48%
					";+1.5%;+3.7%
Apache;APA;20.07;"
							-0.40%
					";+7.3%;+20.8%
CME;CME;188.65;"
							+0.35%
					";-0.3%;-4.6%
Darden Restaurants;DRI;148.88;"
							-0.45%
					";-0.1%;+8.3%
Exelon;EXC;49.72;"
							-0.06%
					";-0.3%;+3.1%
Hewlett-Packard;HPQ;27.69;"
							-0.25%
					";-1.1%;-1.8%
Kinder Morgan;KMI;16.06;"
							+0.82%
					";+0.6%;-1.4%
LyondellBasell;LYB;92.47;"
							+0.62%
					";-0.4%;-7.5%
Costco Wholesale;COST;458.80;"
							-0.21%
					";-1.9%;+2.9%
Dollar General;DG;222.11;"
							-0.04%
					";+1.3%;-4.7%
Advance Auto Parts;AAP;205.80;"
							+0.15%
					";+2.3%;-1.3%
Big Lots;BIG;47.90;"
							+0.21%
					";+4.2%;-13.7%
Danaher Corporation;DHR;324.53;"
							-0.19%
					";-2.0%;+3.0%
Hewlett Packard Enterprise;HPE;13.57;"
							-0.22%
					";-5.2%;-7.8%
Lowe's;LOW;209.36;"
							+0.10%
					";+2.1%;+4.8%
PulteGroup;PHM;48.77;"
							-0.06%
					";+1.8%;-6.8%
State Street;STT;84.80;"
							+0.13%
					";-3.3%;-3.7%
Dollar Tree;DLTR;89.30;"
							+0.11%
					";-1.0%;-12.2%
Western Union;WU;20.98;"
							+0.77%
					";-0.7%;-4.4%
Archer-Daniels-Midland;ADM;62.00;"
							-0.66%
					";+3.4%;+1.8%
AIMCO;AIV;6.81;"
							+0.74%
					";0;+3.7%
AMETEK;AME;131.04;"
							0.00%
					";+0.0%;-4.4%
PNC Financial Services Group;PNC;188.92;"
							-0.68%
					";-2.1%;+0.6%
Range Resources;RRC;18.87;"
							-0.63%
					";+9.1%;+44.2%
Xerox;XRX;20.95;"
							-0.38%
					";+0.8%;-8.8%
AMC Networks;AMCX;47.68;"
							+1.12%
					";+4.2%;-3.1%
Cincinnati;CINF;116.45;"
							-0.25%
					";-0.9%;-4.1%
Crocs;CROX;154.99;"
							-0.07%
					";+7.6%;+10.5%
Ralph Lauren Corporation;RL;113.04;"
							+0.52%
					";+0.4%;-3.9%
